DEBUG 2020-11-10 09:11:45,271 - STOPPED
INFO 2020-11-10 09:11:47,755 - GET -> Has Fetched not modified Root1/index.html
WARNING 2020-11-10 09:11:47,757 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:11:55,436 - Forbidden file
WARNING 2020-11-10 09:11:55,436 - [Errno 9] Bad file descriptor
WARNING 2020-11-10 09:12:10,259 - [Errno 9] Bad file descriptor
WARNING 2020-11-10 09:12:10,261 - [Errno 9] Bad file descriptor
WARNING 2020-11-10 09:12:10,263 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:12:10,273 - GET -> Client has requested for not available file Root1/test.html
INFO 2020-11-10 09:12:10,273 - GET -> cookie sent: SessionId=16051
WARNING 2020-11-10 09:12:10,273 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:12:10,277 - GET -> Client has requested for not available file Root1/not_exists.html
INFO 2020-11-10 09:12:10,277 - GET -> cookie sent: SessionId=16051
WARNING 2020-11-10 09:12:10,278 - [Errno 9] Bad file descriptor
WARNING 2020-11-10 09:12:10,285 - [Errno 9] Bad file descriptor
WARNING 2020-11-10 09:12:10,294 - [Errno 9] Bad file descriptor
WARNING 2020-11-10 09:12:10,297 - No option 'file' in section: 'Authorization'
DEBUG 2020-11-10 09:13:38,857 - STOPPED
WARNING 2020-11-10 09:13:42,482 - [Errno 9] Bad file descriptor
WARNING 2020-11-10 09:13:42,484 - [Errno 9] Bad file descriptor
WARNING 2020-11-10 09:13:42,486 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,492 - GET -> Client has requested for not available file Root1/test.html
INFO 2020-11-10 09:13:42,494 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,494 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,505 - GET -> Client has requested for not available file Root1/not_exists.html
INFO 2020-11-10 09:13:42,505 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,505 - [Errno 9] Bad file descriptor
WARNING 2020-11-10 09:13:42,508 - [Errno 9] Bad file descriptor
WARNING 2020-11-10 09:13:42,519 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,528 - DELETE -> Client has requested to delete not available Root1/delete_test.txt
INFO 2020-11-10 09:13:42,528 - DELETE -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,528 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,540 - DELETE -> Client has requested to delete not available Root1/delete_test.txt
INFO 2020-11-10 09:13:42,540 - DELETE -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,540 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,547 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,548 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,548 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,556 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,557 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,557 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,558 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,558 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,558 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,567 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,568 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,569 - GET -> cookie sent: SessionId=64615
INFO 2020-11-10 09:13:42,570 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,570 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,571 - GET -> Client has fetched Root1/default.html
WARNING 2020-11-10 09:13:42,571 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,571 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,571 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,571 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,572 - GET -> cookie sent: SessionId=64615
INFO 2020-11-10 09:13:42,572 - GET -> Client has fetched Root1/default.html
WARNING 2020-11-10 09:13:42,572 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,572 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,572 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,581 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,581 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,581 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,582 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,582 - GET -> cookie sent: SessionId=64615
INFO 2020-11-10 09:13:42,582 - GET -> Client has fetched Root1/default.html
WARNING 2020-11-10 09:13:42,582 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,582 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,582 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,584 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,585 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,585 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,585 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,586 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,586 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,587 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,587 - GET -> cookie sent: SessionId=64615
